number,time,1num,2num,3num,4num,5num,6num,7num,8num,9num,10num,11num,12num,13num,14num,15num,16num,17num,18num,19num,20num
891645,21:55,78,36,10,52,12,65,17,26,66,25,55,40,13,76,33,39,59,24,47,57
891644,21:50,61,5,54,10,22,64,12,42,37,26,38,13,73,20,49,63,68,44,25,69
891643,21:45,78,4,72,40,11,26,15,66,7,77,52,63,64,68,9,30,49,50,67,34
891642,21:40,67,55,26,12,16,44,18,47,70,29,9,30,49,43,27,3,75,41,8,48
891641,21:35,33,65,68,32,18,29,4,28,51,37,20,43,24,47,21,27,80,26,60,56
891640,21:30,52,46,56,26,64,45,16,66,42,30,47,24,65,31,21,63,41,77,78,2
891639,21:25,25,41,51,28,22,9,8,3,75,24,55,77,6,69,26,7,62,67,78,46
891638,21:20,6,41,64,4,14,50,12,57,65,58,61,76,63,29,8,24,18,32,7,44
891637,21:15,47,27,39,17,4,42,15,72,64,60,38,56,79,52,35,22,1,59,58,31
891636,21:10,34,70,50,33,41,36,30,22,14,31,61,72,1,21,66,59,26,54,75,64
891635,21:05,20,74,51,15,5,44,2,47,35,31,78,54,67,69,12,41,55,80,52,73
891634,21:00,16,68,3,75,2,46,33,60,37,38,52,72,51,8,50,71,29,32,80,63
891633,20:55,2,64,35,54,3,34,19,21,46,62,55,16,45,74,77,29,22,20,78,10
891632,20:50,70,56,32,3,74,34,13,26,73,59,35,33,71,75,19,41,51,79,29,21
891631,20:45,6,30,24,2,64,4,47,22,45,54,32,55,39,73,72,25,34,57,14,33
891630,20:40,36,69,12,47,27,39,51,14,18,25,10,40,77,1,52,56,66,63,45,48
891629,20:35,35,71,63,65,70,64,3,60,34,45,54,74,24,5,37,68,30,6,53,52
891628,20:30,5,56,16,61,28,80,38,7,10,46,22,42,44,57,47,75,62,26,74,37
891627,20:25,11,68,73,57,51,7,32,9,64,39,40,79,58,33,29,60,18,5,72,52
891626,20:20,55,56,49,10,51,31,46,12,4,65,62,7,50,17,18,79,75,3,36,30
891625,20:15,74,31,27,23,35,60,39,18,8,32,14,67,2,45,26,52,78,37,7,11
891624,20:10,52,44,66,5,47,34,42,36,74,12,62,53,54,67,41,17,3,68,38,71
891623,20:05,75,42,22,59,49,51,66,70,69,46,80,76,47,44,2,65,53,35,52,50
891622,20:00,73,27,74,59,26,78,70,22,21,64,23,75,66,46,35,6,3,4,69,72
891621,19:55,10,70,80,63,69,39,11,6,74,40,15,51,56,78,66,57,16,41,48,36
891620,19:50,27,30,79,63,60,22,67,4,76,70,61,10,33,58,47,39,12,14,19,50
891619,19:45,66,79,56,72,23,42,75,43,37,8,27,51,44,62,49,3,24,39,71,74
891618,19:40,2,56,49,53,24,54,40,37,42,75,44,74,45,4,59,35,11,38,18,17
891617,19:35,79,14,42,56,25,65,47,32,63,13,75,28,67,74,73,30,18,21,8,52
891616,19:30,55,8,71,44,76,50,69,11,39,2,30,54,35,57,80,41,45,49,79,29
891615,19:25,69,62,33,21,20,65,19,78,54,14,73,68,47,5,15,67,32,52,3,37
891614,19:20,31,72,78,34,26,33,52,15,73,55,80,40,62,67,75,9,61,47,24,28
891613,19:15,47,46,29,59,34,11,43,78,33,39,58,20,10,36,30,24,62,57,77,3
891612,19:10,48,66,36,44,58,6,34,75,12,77,26,15,37,53,3,8,69,74,1,7
891611,19:05,61,5,75,34,32,68,55,69,13,41,26,65,49,22,30,52,14,27,33,15
891610,19:00,64,17,44,40,75,10,53,38,78,22,72,55,79,12,47,20,74,6,8,65
891609,18:55,27,10,79,59,40,7,8,24,56,76,38,25,28,63,34,41,66,35,49,45
891608,18:50,6,75,10,78,42,54,69,64,13,37,38,45,63,61,51,50,80,39,34,25
891607,18:45,14,77,12,27,3,13,46,5,2,8,21,26,52,42,44,51,50,30,39,19
891606,18:40,69,64,12,42,62,72,14,27,66,31,45,26,11,17,78,16,67,59,68,80
891605,18:35,6,25,30,4,35,23,21,79,53,27,32,43,45,73,1,49,40,33,63,57
891604,18:30,25,73,3,36,20,55,56,70,8,77,48,33,21,31,38,54,64,66,44,22
891603,18:25,3,62,49,75,30,60,43,36,55,22,46,4,76,45,21,80,78,16,2,23
891602,18:20,60,67,34,37,52,43,62,64,12,9,8,18,36,71,26,58,25,72,6,21
891601,18:15,7,62,61,57,73,32,15,56,69,66,63,37,67,44,27,78,28,23,70,16
891600,18:10,3,32,44,16,21,40,66,24,60,33,65,76,26,67,55,4,14,34,64,70
891599,18:05,11,12,57,75,16,62,64,20,59,1,49,28,47,2,3,79,73,45,10,31
891598,18:00,19,44,21,60,45,34,40,17,28,68,26,6,70,77,47,75,69,50,48,15
